"","age","ed","union","employ","income","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","cars","carown","carbuy","commute","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","card2fee","card2tenure","carditems","card2items","card2spent","active","tenure","churn","longmon","lnlongmon","longten","tollfree","tollmon","lntollmon","tollten","lntollten","equip","equipmon","equipten","callcard","cardmon","lncardmon","cardten","lncardten","wireless","wiremon","lnwiremon","wireten","lnwireten","multline","voice","pager","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","townsize","gender","birthmonth","jobcat","retire","hometype","addresscat","cartype","carvalue","carbought","card2","card2type","card2benefit","bfast","internet","Customer_cat"
"5",26,16,0,1,23,1.7,0.21,-1.54,0.18,-1.74,0,1,1,13,2,4,0,0,0,0,0,0,0,0,0,1,0,1,6,32,0,0,0,0,0,1,0,1,0,0,9,4,0,0,0,4,2,1,0,8,0,9,8,7,252.73,1,21,0,3.05,1.12,74.1,1,16.5,2.8,387.7,5.96,0,0,0,1,17.25,2.85,360,5.89,1,19.05,2.95,410.8,6.02,0,1,0,1,1,1,1,0,1,27,1,1,1,0,1,0,1,0,0,0,1,0,"2","0","July","2","0","2","2","1","10.6","0","1","3","2","3","3","medium_spend_cust"
"10",47,11,0,19,84,4.1,1.77,0.57,1.67,0.52,0,4,0,-1,-1,2,1,1,0,0,0,0,0,0,1,4,1,0,1,29,1,1,0,0,0,0,0,0,0,0,9,3,1,1,1,5,4,1,0,2,0,2,11,5,111.17,1,3,1,3.65,1.29,20.05,0,0,2.44,0,2.48,0,0,0,0,0,1.87,0,1.61,0,0,2.64,0,2.54,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,0,0,0,0,"2","0","July","6","0","1","4","0","41","1","2","2","1","3","0","low_spend_cust"
"13",44,10,0,12,73,2.8,1.25,0.22,0.79,-0.23,0,5,0,-1,-1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,25,1,0,0,0,0,0,0,0,0,0,9,4,1,0,1,4,4,1,1,1,0,1,12,5,198.39,0,5,0,6.75,1.91,29.9,0,0,2.55,0,4.34,0,0,0,1,7,1.95,30,3.4,0,0,2.54,0,4.35,0,0,0,1,1,1,1,0,1,21,1,0,1,0,1,0,0,0,0,0,0,0,"2","0","March","1","0","3","3","1","38.5","0","1","3","1","3","1","medium_spend_cust"
"19",28,11,0,4,23,4.8,0.19,-1.66,0.91,-0.09,0,1,1,12,2,3,10,1,0,0,0,0,0,9,1,0,-1,1,4,30,0,0,0,1,0,0,0,0,0,1,9,5,1,0,0,2,2,4,0,10,0,10,17,7,144.69,1,34,0,3.45,1.24,110.45,1,33,3.5,1099.65,7,0,0,0,1,16.5,2.8,545,6.3,0,0,2.68,0,6.15,0,0,0,1,1,1,1,0,1,16,1,1,1,1,0,0,0,0,0,1,0,0,"5","1","April","1","0","1","2","-1","-1","-1","3","3","3","1","0","medium_spend_cust"
"21",61,16,0,4,35,10.1,1.23,0.21,2.3,0.83,0,3,1,12,2,2,0,0,0,0,0,0,0,0,0,4,0,0,1,34,1,0,0,1,0,0,0,0,0,0,9,2,0,0,0,1,4,1,0,27,0,15,8,7,240.38,0,53,0,11.2,2.42,567.05,0,0,2.56,0,6.71,0,0,0,1,9.5,2.25,480,6.17,0,0,2.79,0,7.04,0,1,0,1,1,1,1,0,1,25,1,1,1,0,1,1,1,0,0,0,0,0,"3","0","June","1","0","2","5","0","9.4","1","4","2","3","3","1","medium_spend_cust"
"24",37,11,1,2,29,15.7,3.32,1.2,1.23,0.21,1,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,-1,1,5,29,0,0,0,1,1,0,0,0,0,0,9,4,0,0,0,5,1,2,1,12,0,11,17,7,187.47,1,39,0,13.1,2.57,504.45,1,28.5,3.35,1028.1,6.94,1,43.5,1663.95,1,10.5,2.35,380,5.94,1,31.5,3.45,1199.2,7.09,1,1,1,1,1,1,1,1,1,21,0,1,1,1,1,1,1,0,1,0,0,0,"4","0","August","1","0","2","3","-1","-1","-1","4","2","2","1","4","medium_spend_cust"
"29",77,15,0,26,11,10.2,0.26,-1.36,0.87,-0.14,0,5,0,-1,-1,1,2,0,2,0,0,0,0,0,1,2,1,0,1,21,1,0,0,1,1,0,0,0,0,0,9,2,1,1,0,2,1,1,0,39,0,30,10,5,107.06,1,72,0,89.45,4.49,6495.7,1,75.5,4.32,5310.55,8.58,0,0,0,1,40.75,3.71,2865,7.96,0,0,3.09,0,7.26,1,0,0,1,1,0,0,0,1,23,1,1,1,0,0,0,0,0,1,0,0,0,"1","1","May","1","1","4","5","0","3.1","0","4","4","1","2","0","low_spend_cust"
"37",47,20,0,17,137,13.7,3.3,1.19,15.47,2.74,0,4,1,19,4,2,2,2,0,0,0,0,0,0,1,1,1,0,8,21,0,0,1,0,0,0,0,1,0,0,1,7,0,1,1,1,4,1,0,29,0,27,8,8,558.23,0,69,0,22.05,3.09,1473.3,0,0,2.6,0,6.95,1,44.85,2973,1,28.25,3.34,1885,7.54,1,36.45,3.6,2475.25,7.81,1,1,1,0,1,0,0,1,1,22,1,1,1,0,1,1,1,0,1,0,1,0,"1","0","February","5","0","1","4","1","78.1","0","4","2","3","3","3","medium_spend_cust"
"38",75,11,0,2,10,2.4,0.04,-3.25,0.2,-1.6,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,24,0,0,0,1,1,1,0,0,0,0,9,3,0,0,0,4,3,4,0,23,0,15,17,4,65.47,0,46,0,19.8,2.99,884.75,1,24.75,3.21,1058,6.96,0,0,0,1,14,2.64,640,6.46,0,0,2.88,0,6.75,0,0,0,1,1,1,1,0,1,21,0,0,1,0,1,0,0,0,1,0,1,0,"2","0","April","2","1","2","5","0","4.9","1","2","2","2","2","0","low_spend_cust"
"43",78,11,0,30,28,9.8,1.64,0.49,1.11,0.1,0,5,1,15,3,2,9,0,0,0,0,0,0,9,0,2,1,0,4,34,0,0,1,1,0,0,0,0,0,1,2,4,0,1,1,2,3,2,0,14,1,12,5,7,227.41,0,31,0,5,1.61,133.35,0,0,2.3,0,5.72,0,0,0,1,10.75,2.37,295,5.69,0,0,2.68,0,6.07,0,0,0,0,0,0,0,0,1,20,1,1,1,0,0,0,0,0,1,1,0,0,"4","0","September","3","1","3","5","0","15.8","1","5","1","1","2","0","low_spend_cust"
